pixel_id,x,y,acc,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
48,1,20,0.9436428571428571,0.0387192851824274,0.03249999999999997,0.06304347826086953,0.06001395673412424,0.06023166023166027,0.062058130400628464,0.034383954154727836,0.07252162341982704,0.08400884303610912,0.05915492957746482
49,1,21,0.9476428571428571,0.026061057334326176,0.02937500000000004,0.0644927536231884,0.057920446615492005,0.055598455598455554,0.07934014139827184,0.034383954154727836,0.05056553559547572,0.048636698599852646,0.08169014084507042
50,1,22,0.9548571428571428,0.02903946388682055,0.02562500000000001,0.07173913043478264,0.05024424284717377,0.06409266409266412,0.02985074626865669,0.0322349570200573,0.031936127744510934,0.06263817243920411,0.05774647887323947
51,1,23,0.9515714285714286,0.014147431124348464,0.018750000000000044,0.07681159420289851,0.04884856943475224,0.04092664092664089,0.07305577376276517,0.028653295128939882,0.06453759148369931,0.05895357406042745,0.06338028169014087
52,1,24,0.9465714285714286,0.02903946388682055,0.015000000000000013,0.06666666666666665,0.06629448709002095,0.050193050193050204,0.06048703849175174,0.034383954154727836,0.04657351962741185,0.09432571849668381,0.07746478873239437
53,1,25,0.9375,0.03797468354430378,0.01749999999999996,0.06376811594202902,0.04187020237264483,0.06409266409266412,0.06912804399057348,0.043696275071633206,0.08250166333998665,0.1495946941783346,0.0626760563380282
54,1,26,0.9482142857142857,0.026805658972449686,0.028124999999999956,0.07463768115942027,0.06001395673412424,0.06718146718146722,0.0761979575805185,0.022206303724928378,0.04790419161676651,0.06558585114222548,0.055633802816901445
55,1,27,0.9475714285714286,0.035740878629933026,0.026249999999999996,0.06014492753623191,0.05931612002791342,0.05405405405405406,0.03220738413197177,0.03724928366762181,0.05123087159015305,0.08327192336035372,0.08661971830985915
56,2,0,0.9524285714285714,0.02978406552494417,0.02375000000000005,0.05507246376811592,0.048150732728541534,0.06332046332046337,0.03142183817753341,0.03008595988538687,0.053892215568862256,0.09727339719970518,0.04647887323943667
57,2,1,0.9546428571428571,0.03127326880119141,0.020625000000000004,0.060869565217391286,0.05652477320307048,0.0517374517374517,0.06362922230950507,0.0193409742120344,0.043246839654025315,0.056742815033161365,0.05492957746478877
58,2,2,0.9467142857142857,0.03276247207743854,0.022499999999999964,0.06594202898550727,0.042568039078855535,0.06949806949806947,0.04399057344854673,0.023638968481375366,0.07052561543579505,0.075165806927045,0.08943661971830985
59,2,3,0.9458571428571428,0.03797468354430378,0.03500000000000003,0.05579710144927541,0.07117934403349613,0.054826254826254806,0.05655930871956005,0.033667621776504286,0.05788423153692612,0.06337509211495951,0.0767605633802817
